Train Episode 18 , Platform Reward 5.231965576326395 , Worker Reward 49.941627698540685 , Order Pickup 1943 , Worker Reject Num 870 , Average Detour 19.497683993823983 , Average Travel Time 22.052543320290667 , Total Timeout Order 137 , Total Valid Distance 5654332.5 , Critic Loss 416.8394775390625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.321 , Strike Rate 0.0
Train Episode 19 , Platform Reward 4.3985894532426615 , Worker Reward 52.29603737813234 , Order Pickup 1941 , Worker Reject Num 921 , Average Detour 20.72076249356002 , Average Travel Time 22.78471051152333 , Total Timeout Order 155 , Total Valid Distance 5621705.9 , Critic Loss 270.45477294921875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.639 , Strike Rate 0.0
Train Episode 20 , Platform Reward 4.811020835975267 , Worker Reward 45.13094564241171 , Order Pickup 1943 , Worker Reject Num 889 , Average Detour 17.363870303654142 , Average Travel Time 20.53932584269663 , Total Timeout Order 136 , Total Valid Distance 5390513.4 , Critic Loss 350.08690185546874 , Actor Loss -4.880253244235467 , Worker Loss 0 , Mask Rate 0.868 , Strike Rate 0.0
Train Episode 21 , Platform Reward 5.0436219822802055 , Worker Reward 52.15470948523283 , Order Pickup 1945 , Worker Reject Num 843 , Average Detour 20.231876606683805 , Average Travel Time 22.834924199887702 , Total Timeout Order 155 , Total Valid Distance 5867720.100000001 , Critic Loss 420.2773742675781 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.188 , Strike Rate 0.072
Train Episode 22 , Platform Reward 4.888201319151401 , Worker Reward 52.20981801122427 , Order Pickup 1944 , Worker Reject Num 805 , Average Detour 20.387345679012345 , Average Travel Time 22.87828029034059 , Total Timeout Order 157 , Total Valid Distance 5634266.6 , Critic Loss 384.1705627441406 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.404 , Strike Rate 0.207
Train Episode 23 , Platform Reward 4.654948037580456 , Worker Reward 51.53465942019224 , Order Pickup 1940 , Worker Reject Num 690 , Average Detour 20.281443298969073 , Average Travel Time 22.692047377326563 , Total Timeout Order 144 , Total Valid Distance 5567905.0 , Critic Loss 352.8548583984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.221 , Strike Rate 0.002
Train Episode 24 , Platform Reward 4.9341187387338765 , Worker Reward 53.25477635037899 , Order Pickup 1948 , Worker Reject Num 739 , Average Detour 20.854722792607802 , Average Travel Time 23.862272240085744 , Total Timeout Order 188 , Total Valid Distance 5603335.0 , Critic Loss 294.1790298461914 , Actor Loss -3.670646667317411 , Worker Loss 0 , Mask Rate 0.364 , Strike Rate 0.07
Train Episode 25 , Platform Reward 5.384221521320669 , Worker Reward 52.293380332171914 , Order Pickup 1952 , Worker Reject Num 709 , Average Detour 20.30122950819672 , Average Travel Time 22.867557039510295 , Total Timeout Order 178 , Total Valid Distance 5804507.3 , Critic Loss 365.8876037597656 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.308
Train Episode 26 , Platform Reward 4.61107068861385 , Worker Reward 52.707541548490525 , Order Pickup 1945 , Worker Reject Num 716 , Average Detour 20.503341902313625 , Average Travel Time 23.232532140860815 , Total Timeout Order 152 , Total Valid Distance 5611757.300000001 , Critic Loss 363.09271240234375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.295
Train Episode 27 , Platform Reward 2.8990520702215963 , Worker Reward 21.485899441182614 , Order Pickup 822 , Worker Reject Num 348 , Average Detour 19.59124087591241 , Average Travel Time 22.239583333333332 , Total Timeout Order 69 , Total Valid Distance 2423138.1 , Critic Loss 270.43756103515625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.902
Train Episode 28 , Platform Reward 4.482955067520583 , Worker Reward 44.41697421622276 , Order Pickup 1938 , Worker Reject Num 752 , Average Detour 16.966460268317853 , Average Travel Time 19.928146947595895 , Total Timeout Order 87 , Total Valid Distance 5487374.6 , Critic Loss 192.2834442138672 , Actor Loss -5.626338222679836 , Worker Loss 0 , Mask Rate 0.111 , Strike Rate 0.2
Train Episode 29 , Platform Reward 5.017649769156025 , Worker Reward 51.8239517506361 , Order Pickup 1944 , Worker Reject Num 667 , Average Detour 20.300411522633745 , Average Travel Time 22.97967250141163 , Total Timeout Order 166 , Total Valid Distance 5399398.5 , Critic Loss 224.98931884765625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.618 , Strike Rate 0.0
Train Episode 30 , Platform Reward 4.727561807653397 , Worker Reward 51.67996125167608 , Order Pickup 1953 , Worker Reject Num 625 , Average Detour 20.235023041474655 , Average Travel Time 22.577864293659623 , Total Timeout Order 155 , Total Valid Distance 5307325.6 , Critic Loss 194.43157958984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.307
Train Episode 31 , Platform Reward 2.5916868764259045 , Worker Reward 20.537585954606534 , Order Pickup 790 , Worker Reject Num 284 , Average Detour 19.754430379746836 , Average Travel Time 22.59349593495935 , Total Timeout Order 63 , Total Valid Distance 2090512.7 , Critic Loss 367.09063720703125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.914
Train Episode 32 , Platform Reward 4.188073383328382 , Worker Reward 44.508239929020405 , Order Pickup 1948 , Worker Reject Num 748 , Average Detour 16.77104722792608 , Average Travel Time 19.698123324396782 , Total Timeout Order 74 , Total Valid Distance 5414685.5 , Critic Loss 277.09288482666017 , Actor Loss -3.2069860659093714 , Worker Loss 0 , Mask Rate 0.8 , Strike Rate 0.0
Train Episode 33 , Platform Reward 4.776407580200347 , Worker Reward 51.5110475730896 , Order Pickup 1954 , Worker Reject Num 510 , Average Detour 20.067553735926307 , Average Travel Time 22.60734149054505 , Total Timeout Order 156 , Total Valid Distance 5414623.0 , Critic Loss 272.6573791503906 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.034 , Strike Rate 0.371
Train Episode 34 , Platform Reward 4.432862117205346 , Worker Reward 35.147612388134 , Order Pickup 1300 , Worker Reject Num 339 , Average Detour 20.343846153846155 , Average Travel Time 22.618887015177066 , Total Timeout Order 100 , Total Valid Distance 3895882.9000000004 , Critic Loss 194.8447265625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.726
Train Episode 35 , Platform Reward 4.689967357558834 , Worker Reward 51.575284361004826 , Order Pickup 1946 , Worker Reject Num 540 , Average Detour 19.96197327852004 , Average Travel Time 22.299498047964306 , Total Timeout Order 159 , Total Valid Distance 5704636.3 , Critic Loss 182.05416870117188 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.337
Train Episode 36 , Platform Reward 5.069252424698723 , Worker Reward 44.59610513544083 , Order Pickup 1953 , Worker Reject Num 598 , Average Detour 16.389656938044034 , Average Travel Time 19.593582887700535 , Total Timeout Order 80 , Total Valid Distance 5969041.199999999 , Critic Loss 291.3528854370117 , Actor Loss -3.7292423768379153 , Worker Loss 0 , Mask Rate 0.925 , Strike Rate 0.0
Train Episode 37 , Platform Reward 4.579135245714304 , Worker Reward 50.399411328852175 , Order Pickup 1861 , Worker Reject Num 455 , Average Detour 20.229983879634606 , Average Travel Time 22.574821852731592 , Total Timeout Order 144 , Total Valid Distance 5738549.4 , Critic Loss 296.15447998046875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.244 , Strike Rate 0.476
Train Episode 38 , Platform Reward 5.1814496833352734 , Worker Reward 51.90700879096985 , Order Pickup 1952 , Worker Reject Num 548 , Average Detour 20.111168032786885 , Average Travel Time 22.563646470261258 , Total Timeout Order 161 , Total Valid Distance 5660869.7 , Critic Loss 315.3778076171875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.214 , Strike Rate 0.28
Train Episode 39 , Platform Reward 4.648179745796976 , Worker Reward 51.48251316893101 , Order Pickup 1946 , Worker Reject Num 523 , Average Detour 19.937307297019526 , Average Travel Time 22.339633129516397 , Total Timeout Order 142 , Total Valid Distance 5604292.1 , Critic Loss 268.4539489746094 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.658 , Strike Rate 0.0
Train Episode 40 , Platform Reward 5.089691751453764 , Worker Reward 47.32929554671049 , Order Pickup 1950 , Worker Reject Num 525 , Average Detour 18.20820512820513 , Average Travel Time 21.29731182795699 , Total Timeout Order 142 , Total Valid Distance 5416290.6 , Critic Loss 212.38079910278321 , Actor Loss -2.259997394820512 , Worker Loss 0 , Mask Rate 0.299 , Strike Rate 0.231
Train Episode 41 , Platform Reward 4.724082307355835 , Worker Reward 50.60202777761221 , Order Pickup 1951 , Worker Reject Num 517 , Average Detour 19.654023577652485 , Average Travel Time 22.328515842134518 , Total Timeout Order 155 , Total Valid Distance 5357591.1 , Critic Loss 172.01119995117188 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.4
Train Episode 42 , Platform Reward 4.6000142890865 , Worker Reward 51.73844198346138 , Order Pickup 1949 , Worker Reject Num 594 , Average Detour 19.968701898409442 , Average Travel Time 22.53163152053274 , Total Timeout Order 142 , Total Valid Distance 5465134.5 , Critic Loss 256.7729187011719 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.574 , Strike Rate 0.0
Train Episode 43 , Platform Reward 4.727371465118743 , Worker Reward 53.547306837439535 , Order Pickup 1947 , Worker Reject Num 644 , Average Detour 20.751926040061633 , Average Travel Time 23.49779492833517 , Total Timeout Order 187 , Total Valid Distance 5594086.0 , Critic Loss 207.16708374023438 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.72 , Strike Rate 0.0
Train Episode 44 , Platform Reward 4.599811597362632 , Worker Reward 48.21667510819435 , Order Pickup 1952 , Worker Reject Num 427 , Average Detour 18.68186475409836 , Average Travel Time 21.639274279615794 , Total Timeout Order 124 , Total Valid Distance 5507336.5 , Critic Loss 200.3774444580078 , Actor Loss -0.8730214754283134 , Worker Loss 0 , Mask Rate 0.191 , Strike Rate 0.0
