Train Episode 18 , Platform Reward 3.509057802653282 , Worker Reward 33.42898939579725 , Order Pickup 1321 , Worker Reject Num 911 , Average Detour 19.526116578349736 , Average Travel Time 21.818106995884772 , Total Timeout Order 73 , Total Valid Distance 4161835.4 , Critic Loss 516.0816040039062 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.236 , Strike Rate 0.122
Train Episode 19 , Platform Reward 10.898395365999498 , Worker Reward 75.70062956297397 , Order Pickup 2941 , Worker Reject Num 2253 , Average Detour 20.04420265215913 , Average Travel Time 22.778104335047757 , Total Timeout Order 239 , Total Valid Distance 8485839.200000001 , Critic Loss 303.2787170410156 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.367
Train Episode 20 , Platform Reward 5.445350134135038 , Worker Reward 43.939600130438805 , Order Pickup 1908 , Worker Reject Num 810 , Average Detour 17.678721174004192 , Average Travel Time 21.127262753702688 , Total Timeout Order 131 , Total Valid Distance 5920585.8 , Critic Loss 597.617807006836 , Actor Loss -7.633564998221114 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.356
Train Episode 21 , Platform Reward 2.656520737878228 , Worker Reward 25.79697075331211 , Order Pickup 1017 , Worker Reject Num 663 , Average Detour 19.790560471976402 , Average Travel Time 22.2767094017094 , Total Timeout Order 73 , Total Valid Distance 2951844.8 , Critic Loss 171.75433349609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.236
Train Episode 22 , Platform Reward 9.842116568561446 , Worker Reward 51.17293891519308 , Order Pickup 1969 , Worker Reject Num 1571 , Average Detour 20.312849162011172 , Average Travel Time 23.335297268344938 , Total Timeout Order 172 , Total Valid Distance 5746128.300000001 , Critic Loss 478.0884704589844 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.899
Train Episode 23 , Platform Reward 9.394434560149728 , Worker Reward 75.27497184944153 , Order Pickup 2955 , Worker Reject Num 2120 , Average Detour 19.84534686971235 , Average Travel Time 22.41832229580574 , Total Timeout Order 227 , Total Valid Distance 8481301.3 , Critic Loss 343.553955078125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.175 , Strike Rate 0.218
Train Episode 24 , Platform Reward 10.4163450119166 , Worker Reward 88.75147834932804 , Order Pickup 3905 , Worker Reject Num 2712 , Average Detour 17.20435339308579 , Average Travel Time 19.53354357798165 , Total Timeout Order 230 , Total Valid Distance 12152571.8 , Critic Loss 400.3688537597656 , Actor Loss -5.285264596504445 , Worker Loss 0 , Mask Rate 0.161 , Strike Rate 0.006
Train Episode 25 , Platform Reward 6.628851180828068 , Worker Reward 68.65322601169348 , Order Pickup 2647 , Worker Reject Num 1544 , Average Detour 20.324896108802417 , Average Travel Time 22.883223684210527 , Total Timeout Order 217 , Total Valid Distance 7581214.800000001 , Critic Loss 485.6260986328125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.087 , Strike Rate 0.186
Train Episode 26 , Platform Reward 11.08280282441006 , Worker Reward 77.24022419089079 , Order Pickup 3043 , Worker Reject Num 1761 , Average Detour 19.838646072954322 , Average Travel Time 22.533045977011493 , Total Timeout Order 220 , Total Valid Distance 8868374.0 , Critic Loss 306.5673828125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.388
Train Episode 27 , Platform Reward 7.377898964236116 , Worker Reward 75.78237254488468 , Order Pickup 2943 , Worker Reject Num 1682 , Average Detour 20.12266394835202 , Average Travel Time 22.64755917159763 , Total Timeout Order 229 , Total Valid Distance 8526000.4 , Critic Loss 289.35589599609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.001 , Strike Rate 0.039
Train Episode 28 , Platform Reward 4.91360412088525 , Worker Reward 39.66940031039715 , Order Pickup 1691 , Worker Reject Num 353 , Average Detour 18.254878769958605 , Average Travel Time 21.65733830845771 , Total Timeout Order 135 , Total Valid Distance 5090306.3 , Critic Loss 504.7921203613281 , Actor Loss -5.734174892805396 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.248
Train Episode 29 , Platform Reward 9.410078805759472 , Worker Reward 46.15738227391243 , Order Pickup 1788 , Worker Reject Num 1076 , Average Detour 20.33612975391499 , Average Travel Time 23.63226571767497 , Total Timeout Order 139 , Total Valid Distance 4926183.3 , Critic Loss 390.12451171875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.969
Train Episode 30 , Platform Reward 4.619987211986018 , Worker Reward 45.598467211723325 , Order Pickup 1743 , Worker Reject Num 996 , Average Detour 20.33677567412507 , Average Travel Time 22.8428927680798 , Total Timeout Order 155 , Total Valid Distance 5112575.6 , Critic Loss 212.5511016845703 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.441 , Strike Rate 0.0
Train Episode 31 , Platform Reward 13.088063877043638 , Worker Reward 92.024359739542 , Order Pickup 3573 , Worker Reject Num 2055 , Average Detour 19.96501539322698 , Average Travel Time 22.416896235078053 , Total Timeout Order 282 , Total Valid Distance 10489971.700000001 , Critic Loss 192.642578125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.369 , Strike Rate 0.0
Train Episode 32 , Platform Reward 9.875310633168494 , Worker Reward 61.878237193703654 , Order Pickup 2450 , Worker Reject Num 1474 , Average Detour 18.33142857142857 , Average Travel Time 21.23412146499768 , Total Timeout Order 164 , Total Valid Distance 9977274.0 , Critic Loss 337.1017333984375 , Actor Loss -8.540254669539193 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.592
Train Episode 33 , Platform Reward 10.72216353664567 , Worker Reward 64.0898329873085 , Order Pickup 2458 , Worker Reject Num 1397 , Average Detour 20.373474369406022 , Average Travel Time 22.794520547945204 , Total Timeout Order 201 , Total Valid Distance 7033381.6 , Critic Loss 306.747802734375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.624
