Train Episode 1 , Platform Reward 10.176122925988686 , Worker Reward 79.33916988688708 , Order Pickup 3149 , Worker Reject Num 2887 , Average Detour 19.48237535725627 , Average Travel Time 22.06531454107941 , Total Timeout Order 238 , Total Valid Distance 8928223.899999999 , Critic Loss 388.511474609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.238 , Strike Rate 0.241
Train Episode 2 , Platform Reward 11.171356294779516 , Worker Reward 87.00689382302761 , Order Pickup 3418 , Worker Reject Num 3356 , Average Detour 19.7489760093622 , Average Travel Time 22.320569620253163 , Total Timeout Order 255 , Total Valid Distance 9833385.0 , Critic Loss 293.70074462890625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.357 , Strike Rate 0.0
Train Episode 3 , Platform Reward 10.636019058607873 , Worker Reward 84.39203786492348 , Order Pickup 3275 , Worker Reject Num 2964 , Average Detour 20.13648854961832 , Average Travel Time 22.68019801980198 , Total Timeout Order 253 , Total Valid Distance 9287976.8 , Critic Loss 313.2872009277344 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.367 , Strike Rate 0.101
Train Episode 4 , Platform Reward 5.47195796443882 , Worker Reward 42.458066753566264 , Order Pickup 1771 , Worker Reject Num 1767 , Average Detour 18.5330321852061 , Average Travel Time 21.047677261613693 , Total Timeout Order 126 , Total Valid Distance 4962139.100000001 , Critic Loss 336.8001342773438 , Actor Loss -6.453941581016312 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.94
Train Episode 5 , Platform Reward 7.4862904916226185 , Worker Reward 50.76250490278006 , Order Pickup 1984 , Worker Reject Num 1636 , Average Detour 19.920362903225808 , Average Travel Time 22.439608269858542 , Total Timeout Order 161 , Total Valid Distance 5669588.3 , Critic Loss 324.41595458984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.787
Train Episode 6 , Platform Reward 8.518437718463156 , Worker Reward 67.44929886341095 , Order Pickup 2636 , Worker Reject Num 2251 , Average Detour 19.91805766312595 , Average Travel Time 22.419934640522875 , Total Timeout Order 216 , Total Valid Distance 7397285.3 , Critic Loss 198.41058349609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.517
Train Episode 7 , Platform Reward 10.76401263663878 , Worker Reward 87.00275159186126 , Order Pickup 3388 , Worker Reject Num 3038 , Average Detour 19.950413223140497 , Average Travel Time 22.49198717948718 , Total Timeout Order 245 , Total Valid Distance 9935857.9 , Critic Loss 290.0422058105469 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.917 , Strike Rate 0.0
Train Episode 8 , Platform Reward 12.036579987044428 , Worker Reward 87.9505306379199 , Order Pickup 3429 , Worker Reject Num 3194 , Average Detour 19.385535141440652 , Average Travel Time 22.098697068403908 , Total Timeout Order 194 , Total Valid Distance 12114254.0 , Critic Loss 505.1108764648437 , Actor Loss -9.515180633467944 , Worker Loss 0 , Mask Rate 0.023 , Strike Rate 0.0
Train Episode 9 , Platform Reward 10.579814781393146 , Worker Reward 86.61050200021268 , Order Pickup 3427 , Worker Reject Num 2844 , Average Detour 19.72891742048439 , Average Travel Time 22.275634995296333 , Total Timeout Order 257 , Total Valid Distance 9586537.3 , Critic Loss 152.4149169921875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.003 , Strike Rate 0.0
Train Episode 10 , Platform Reward 10.453892117790518 , Worker Reward 83.32415198606253 , Order Pickup 3264 , Worker Reject Num 2694 , Average Detour 19.920649509803923 , Average Travel Time 22.401053671386236 , Total Timeout Order 236 , Total Valid Distance 9100934.5 , Critic Loss 302.70068359375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.302 , Strike Rate 0.124
Train Episode 11 , Platform Reward 10.062210159855791 , Worker Reward 84.70590277928115 , Order Pickup 3304 , Worker Reject Num 2853 , Average Detour 20.034806295399516 , Average Travel Time 22.60085273860282 , Total Timeout Order 262 , Total Valid Distance 9287215.899999999 , Critic Loss 436.60650634765625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.051
Train Episode 12 , Platform Reward 11.253933088932293 , Worker Reward 85.48075152093172 , Order Pickup 3089 , Worker Reject Num 2545 , Average Detour 21.084493363548074 , Average Travel Time 23.743599122165325 , Total Timeout Order 257 , Total Valid Distance 10844375.5 , Critic Loss 647.4702331542969 , Actor Loss -11.114892858215416 , Worker Loss 0 , Mask Rate 0.324 , Strike Rate 0.066
Train Episode 13 , Platform Reward 9.322522749746893 , Worker Reward 66.3458256355524 , Order Pickup 2571 , Worker Reject Num 1743 , Average Detour 19.99416569428238 , Average Travel Time 22.51727078891258 , Total Timeout Order 198 , Total Valid Distance 7654291.4 , Critic Loss 319.7886962890625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.008 , Strike Rate 0.491
Train Episode 14 , Platform Reward 9.666245805079575 , Worker Reward 72.22071734070778 , Order Pickup 2789 , Worker Reject Num 2104 , Average Detour 20.029042667622804 , Average Travel Time 22.644798136645964 , Total Timeout Order 219 , Total Valid Distance 8306357.0 , Critic Loss 542.111328125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.448
Train Episode 15 , Platform Reward 9.786648745866723 , Worker Reward 71.68942973273992 , Order Pickup 2826 , Worker Reject Num 2050 , Average Detour 19.705944798301488 , Average Travel Time 22.425181783390737 , Total Timeout Order 222 , Total Valid Distance 8061183.9 , Critic Loss 386.69342041015625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.451
Train Episode 16 , Platform Reward 10.683713590977153 , Worker Reward 74.0084039439559 , Order Pickup 2748 , Worker Reject Num 1989 , Average Detour 20.224163027656477 , Average Travel Time 22.143096936634496 , Total Timeout Order 182 , Total Valid Distance 10595109.5 , Critic Loss 637.2802734375 , Actor Loss -8.672003203205739 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.361
Train Episode 17 , Platform Reward 7.32732805366875 , Worker Reward 55.36192385697365 , Order Pickup 2168 , Worker Reject Num 1295 , Average Detour 19.973247232472325 , Average Travel Time 22.39134808853119 , Total Timeout Order 156 , Total Valid Distance 6252130.299999999 , Critic Loss 303.46044921875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.697
Train Episode 18 , Platform Reward 9.861350393722747 , Worker Reward 82.82582178652287 , Order Pickup 3200 , Worker Reject Num 2030 , Average Detour 20.3096875 , Average Travel Time 22.730142566191446 , Total Timeout Order 239 , Total Valid Distance 8864005.7 , Critic Loss 200.51370239257812 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.139 , Strike Rate 0.225
Train Episode 19 , Platform Reward 10.60184522959921 , Worker Reward 82.29177215397358 , Order Pickup 3191 , Worker Reject Num 2295 , Average Detour 19.881855217800062 , Average Travel Time 22.487978327124956 , Total Timeout Order 239 , Total Valid Distance 9618993.6 , Critic Loss 310.83233642578125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.019 , Strike Rate 0.197
Train Episode 20 , Platform Reward 11.910493436159435 , Worker Reward 82.3320592418909 , Order Pickup 3736 , Worker Reject Num 2384 , Average Detour 16.187366167023555 , Average Travel Time 18.839340256566892 , Total Timeout Order 165 , Total Valid Distance 12611271.399999999 , Critic Loss 311.4901626586914 , Actor Loss -9.184321917107374 , Worker Loss 0 , Mask Rate 0.079 , Strike Rate 0.146
Train Episode 21 , Platform Reward 11.618204260764005 , Worker Reward 86.83305495858193 , Order Pickup 3332 , Worker Reject Num 1811 , Average Detour 20.251200480192075 , Average Travel Time 22.851899967521923 , Total Timeout Order 262 , Total Valid Distance 9850588.0 , Critic Loss 373.4426574707031 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.159
Train Episode 22 , Platform Reward 7.2587079396256025 , Worker Reward 51.75362909966707 , Order Pickup 2054 , Worker Reject Num 1122 , Average Detour 19.421129503407986 , Average Travel Time 21.83297758804696 , Total Timeout Order 145 , Total Valid Distance 5941241.7 , Critic Loss 326.9593200683594 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.812
Train Episode 23 , Platform Reward 10.298842777333773 , Worker Reward 81.39805962586402 , Order Pickup 3106 , Worker Reject Num 1760 , Average Detour 20.490019317450095 , Average Travel Time 22.83466481417159 , Total Timeout Order 233 , Total Valid Distance 8739428.799999999 , Critic Loss 216.8074951171875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.323 , Strike Rate 0.229
Train Episode 24 , Platform Reward 11.327914712629415 , Worker Reward 78.92165446996688 , Order Pickup 3441 , Worker Reject Num 1966 , Average Detour 16.980819529206627 , Average Travel Time 19.522525485037818 , Total Timeout Order 162 , Total Valid Distance 11723471.6 , Critic Loss 247.56027603149414 , Actor Loss -6.971335314320919 , Worker Loss 0 , Mask Rate 0.247 , Strike Rate 0.206
Train Episode 25 , Platform Reward 11.202989992018166 , Worker Reward 86.40512645322084 , Order Pickup 3383 , Worker Reject Num 1813 , Average Detour 19.815252734259534 , Average Travel Time 22.493057797868904 , Total Timeout Order 270 , Total Valid Distance 9925392.2 , Critic Loss 349.95184326171875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.111
Train Episode 26 , Platform Reward 10.563276353163925 , Worker Reward 88.83790251201391 , Order Pickup 3480 , Worker Reject Num 2002 , Average Detour 19.867241379310343 , Average Travel Time 22.35264641403069 , Total Timeout Order 256 , Total Valid Distance 9952485.7 , Critic Loss 317.94842529296875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.0
